SalesDate,Year,Quarter,Month,Week,Day,FiscalYear,FiscalQuarter,FiscalMonth,FiscalWeek,FiscalDay,SalesDate_SK
2005-02-15,2005,1,2,8,15,2005,4,11,48,15,47
2005-02-16,2005,1,2,8,16,2005,4,11,48,16,48
2005-02-17,2005,1,2,8,17,2005,4,11,48,17,49
2005-02-18,2005,1,2,8,18,2005,4,11,48,18,50
2005-02-19,2005,1,2,8,19,2005,4,11,48,19,51
2005-02-20,2005,1,2,9,20,2005,4,11,49,20,52
2005-02-21,2005,1,2,9,21,2005,4,11,49,21,53
2005-02-22,2005,1,2,9,22,2005,4,11,49,22,54
2005-02-23,2005,1,2,9,23,2005,4,11,49,23,55
2005-02-24,2005,1,2,9,24,2005,4,11,49,24,56
2005-02-25,2005,1,2,9,25,2005,4,11,49,25,57
2005-02-26,2005,1,2,9,26,2005,4,11,49,26,58
2005-02-27,2005,1,2,10,27,2005,4,11,50,27,59
2005-02-28,2005,1,2,10,28,2005,4,11,50,28,60
2005-03-01,2005,1,3,10,1,2005,4,12,50,1,61
2005-03-02,2005,1,3,10,2,2005,4,12,50,2,62
2005-03-03,2005,1,3,10,3,2005,4,12,50,3,63
2005-03-04,2005,1,3,10,4,2005,4,12,50,4,64
2005-03-05,2005,1,3,10,5,2005,4,12,50,5,65
2005-03-06,2005,1,3,11,6,2005,4,12,51,6,66
2005-03-07,2005,1,3,11,7,2005,4,12,51,7,67
2005-03-08,2005,1,3,11,8,2005,4,12,51,8,68
2005-03-09,2005,1,3,11,9,2005,4,12,51,9,69
2005-03-10,2005,1,3,11,10,2005,4,12,51,10,70
2005-03-11,2005,1,3,11,11,2005,4,12,51,11,71
2005-03-12,2005,1,3,11,12,2005,4,12,51,12,72
2005-03-13,2005,1,3,12,13,2005,4,12,24,13,73
2005-03-14,2005,1,3,12,14,2005,4,12,24,14,74
2005-03-15,2005,1,3,12,15,2005,4,12,24,15,75
2005-03-16,2005,1,3,12,16,2005,4,12,24,16,76
2005-03-17,2005,1,3,12,17,2005,4,12,24,17,77
2005-03-18,2005,1,3,12,18,2005,4,12,24,18,78
2005-03-19,2005,1,3,12,19,2005,4,12,24,19,79
2005-03-20,2005,1,3,13,20,2005,4,12,25,20,80
2005-03-21,2005,1,3,13,21,2005,4,12,25,21,81
2005-03-22,2005,1,3,13,22,2005,4,12,25,22,82
2005-03-23,2005,1,3,13,23,2005,4,12,25,23,83
2005-03-24,2005,1,3,13,24,2005,4,12,25,24,84
2005-03-25,2005,1,3,13,25,2005,4,12,25,25,85
2005-03-26,2005,1,3,13,26,2005,4,12,25,26,86
2005-03-27,2005,1,3,14,27,2005,4,12,26,27,87
2005-03-28,2005,1,3,14,28,2005,4,12,26,28,88
2005-03-29,2005,1,3,14,29,2005,4,12,26,29,89
2005-03-30,2005,1,3,14,30,2005,4,12,26,30,90
2005-03-31,2005,1,3,14,31,2005,4,12,26,31,91
2005-04-01,2005,2,4,14,1,2006,1,1,26,1,92
2005-04-02,2005,2,4,14,2,2006,1,1,26,2,93
2005-04-03,2005,2,4,15,3,2006,1,1,27,3,94
2005-04-04,2005,2,4,15,4,2006,1,1,27,4,95
2005-04-05,2005,2,4,15,5,2006,1,1,27,5,96
2005-04-06,2005,2,4,15,6,2006,1,1,27,6,97
2005-04-07,2005,2,4,15,7,2006,1,1,27,7,98
2005-04-08,2005,2,4,15,8,2006,1,1,27,8,99
2005-04-09,2005,2,4,15,9,2006,1,1,27,9,100
2005-04-10,2005,2,4,16,10,2006,1,1,28,10,101
2005-04-11,2005,2,4,16,11,2006,1,1,28,11,102
2005-04-12,2005,2,4,16,12,2006,1,1,28,12,103
2005-04-13,2005,2,4,16,13,2006,1,1,28,13,104
2005-04-14,2005,2,4,16,14,2006,1,1,28,14,105
2005-04-15,2005,2,4,16,15,2006,1,1,28,15,106
2005-04-16,2005,2,4,16,16,2006,1,1,28,16,107
2005-04-17,2005,2,4,17,17,2006,1,1,29,17,108
2005-04-18,2005,2,4,17,18,2006,1,1,29,18,109
2005-04-19,2005,2,4,17,19,2006,1,1,29,19,110
2005-04-20,2005,2,4,17,20,2006,1,1,29,20,111
2005-04-21,2005,2,4,17,21,2006,1,1,29,21,112
2005-04-22,2005,2,4,17,22,2006,1,1,29,22,113
2005-04-23,2005,2,4,17,23,2006,1,1,29,23,114
2005-04-24,2005,2,4,18,24,2006,1,1,30,24,115
2005-04-25,2005,2,4,18,25,2006,1,1,30,25,116
2005-04-26,2005,2,4,18,26,2006,1,1,30,26,117
2005-04-27,2005,2,4,18,27,2006,1,1,30,27,118
2005-04-28,2005,2,4,18,28,2006,1,1,30,28,119
2005-04-29,2005,2,4,18,29,2006,1,1,30,29,120
2005-04-30,2005,2,4,18,30,2006,1,1,30,30,121
2005-05-01,2005,2,5,19,1,2006,1,2,31,1,122
2005-05-02,2005,2,5,19,2,2006,1,2,31,2,123
2005-05-03,2005,2,5,19,3,2006,1,2,31,3,124
2005-05-04,2005,2,5,19,4,2006,1,2,31,4,125
2005-05-05,2005,2,5,19,5,2006,1,2,31,5,126
2005-05-06,2005,2,5,19,6,2006,1,2,31,6,127
2005-05-07,2005,2,5,19,7,2006,1,2,31,7,128
2005-05-08,2005,2,5,20,8,2006,1,2,32,8,129
2005-05-09,2005,2,5,20,9,2006,1,2,32,9,130
2005-05-10,2005,2,5,20,10,2006,1,2,32,10,131
2005-05-11,2005,2,5,20,11,2006,1,2,32,11,132
2005-05-12,2005,2,5,20,12,2006,1,2,32,12,133
2005-05-13,2005,2,5,20,13,2006,1,2,32,13,134
2005-05-14,2005,2,5,20,14,2006,1,2,32,14,135
2005-05-15,2005,2,5,21,15,2006,1,2,33,15,136
2005-05-16,2005,2,5,21,16,2006,1,2,33,16,137
2005-05-17,2005,2,5,21,17,2006,1,2,33,17,138
2005-05-18,2005,2,5,21,18,2006,1,2,33,18,139
2005-05-19,2005,2,5,21,19,2006,1,2,33,19,140
2005-05-20,2005,2,5,21,20,2006,1,2,33,20,141
2005-05-21,2005,2,5,21,21,2006,1,2,33,21,142
2005-05-22,2005,2,5,22,22,2006,1,2,34,22,143
2005-05-23,2005,2,5,22,23,2006,1,2,34,23,144
2005-05-24,2005,2,5,22,24,2006,1,2,34,24,145
2005-05-25,2005,2,5,22,25,2006,1,2,34,25,146
2005-05-26,2005,2,5,22,26,2006,1,2,34,26,147
2005-05-27,2005,2,5,22,27,2006,1,2,34,27,148
2005-05-28,2005,2,5,22,28,2006,1,2,34,28,149
2005-05-29,2005,2,5,23,29,2006,1,2,35,29,150
2005-05-30,2005,2,5,23,30,2006,1,2,35,30,151
2005-05-31,2005,2,5,23,31,2006,1,2,35,31,152
2005-06-01,2005,2,6,23,1,2006,1,3,35,1,153
2005-06-02,2005,2,6,23,2,2006,1,3,35,2,154
2005-06-03,2005,2,6,23,3,2006,1,3,35,3,155
2005-06-04,2005,2,6,23,4,2006,1,3,35,4,156
2005-06-05,2005,2,6,24,5,2006,1,3,36,5,157
2005-06-06,2005,2,6,24,6,2006,1,3,36,6,158
2005-06-07,2005,2,6,24,7,2006,1,3,36,7,159
2005-06-08,2005,2,6,24,8,2006,1,3,36,8,160
2005-06-09,2005,2,6,24,9,2006,1,3,36,9,161
2005-06-10,2005,2,6,24,10,2006,1,3,36,10,162
2005-06-11,2005,2,6,24,11,2006,1,3,36,11,163
2005-06-12,2005,2,6,25,12,2006,1,3,37,12,164
2005-06-13,2005,2,6,25,13,2006,1,3,37,13,165
2005-06-14,2005,2,6,25,14,2006,1,3,37,14,166
2005-06-15,2005,2,6,25,15,2006,1,3,37,15,167
2005-06-16,2005,2,6,25,16,2006,1,3,37,16,168
2005-06-17,2005,2,6,25,17,2006,1,3,37,17,169
2005-06-18,2005,2,6,25,18,2006,1,3,37,18,170
2005-06-19,2005,2,6,26,19,2006,1,3,38,19,171
2005-06-20,2005,2,6,26,20,2006,1,3,38,20,172
2005-06-21,2005,2,6,26,21,2006,1,3,38,21,173
2005-06-22,2005,2,6,26,22,2006,1,3,38,22,174
2005-06-23,2005,2,6,26,23,2006,1,3,38,23,175
2005-06-24,2005,2,6,26,24,2006,1,3,38,24,176
2005-06-25,2005,2,6,26,25,2006,1,3,38,25,177
2005-06-26,2005,2,6,27,26,2006,1,3,39,26,178
2005-06-27,2005,2,6,27,27,2006,1,3,39,27,179
2005-06-28,2005,2,6,27,28,2006,1,3,39,28,180
2005-06-29,2005,2,6,27,29,2006,1,3,39,29,181
2005-06-30,2005,2,6,27,30,2006,1,3,39,30,182
2005-07-01,2005,3,7,27,1,2006,2,4,39,1,183
2005-07-02,2005,3,7,27,2,2006,2,4,39,2,184
2005-07-03,2005,3,7,28,3,2006,2,4,40,3,185
2005-07-04,2005,3,7,28,4,2006,2,4,40,4,186
2005-07-05,2005,3,7,28,5,2006,2,4,40,5,187
2005-07-06,2005,3,7,28,6,2006,2,4,40,6,188
2005-07-07,2005,3,7,28,7,2006,2,4,40,7,189
2005-07-08,2005,3,7,28,8,2006,2,4,40,8,190
2005-07-09,2005,3,7,28,9,2006,2,4,40,9,191
2005-07-10,2005,3,7,29,10,2006,2,4,41,10,192
2005-07-11,2005,3,7,29,11,2006,2,4,41,11,193
2005-07-12,2005,3,7,29,12,2006,2,4,41,12,194
2005-07-13,2005,3,7,29,13,2006,2,4,41,13,195
2005-07-14,2005,3,7,29,14,2006,2,4,41,14,196
2005-07-15,2005,3,7,29,15,2006,2,4,41,15,197
2005-07-16,2005,3,7,29,16,2006,2,4,41,16,198
2005-07-17,2005,3,7,30,17,2006,2,4,42,17,199
2005-07-18,2005,3,7,30,18,2006,2,4,42,18,200
2005-07-19,2005,3,7,30,19,2006,2,4,42,19,201
2005-07-20,2005,3,7,30,20,2006,2,4,42,20,202
2005-07-21,2005,3,7,30,21,2006,2,4,42,21,203
2005-07-22,2005,3,7,30,22,2006,2,4,42,22,204
2005-07-23,2005,3,7,30,23,2006,2,4,42,23,205
2005-07-24,2005,3,7,31,24,2006,2,4,43,24,206
2005-07-25,2005,3,7,31,25,2006,2,4,43,25,207
2005-07-26,2005,3,7,31,26,2006,2,4,43,26,208
2005-07-27,2005,3,7,31,27,2006,2,4,43,27,209
2005-07-28,2005,3,7,31,28,2006,2,4,43,28,210
2005-07-29,2005,3,7,31,29,2006,2,4,43,29,211
2005-07-30,2005,3,7,31,30,2006,2,4,43,30,212
2005-07-31,2005,3,7,32,31,2006,2,4,44,31,213
2005-08-01,2005,3,8,32,1,2006,2,5,44,1,214
2005-08-02,2005,3,8,32,2,2006,2,5,44,2,215
2005-08-03,2005,3,8,32,3,2006,2,5,44,3,216
2005-08-04,2005,3,8,32,4,2006,2,5,44,4,217
2005-08-05,2005,3,8,32,5,2006,2,5,44,5,218
2005-08-06,2005,3,8,32,6,2006,2,5,44,6,219
2005-08-07,2005,3,8,33,7,2006,2,5,45,7,220
2005-08-08,2005,3,8,33,8,2006,2,5,45,8,221
2005-08-09,2005,3,8,33,9,2006,2,5,45,9,222
2005-08-10,2005,3,8,33,10,2006,2,5,45,10,223
2005-08-11,2005,3,8,33,11,2006,2,5,45,11,224
2005-08-12,2005,3,8,33,12,2006,2,5,45,12,225
2005-08-13,2005,3,8,33,13,2006,2,5,45,13,226
2005-08-14,2005,3,8,34,14,2006,2,5,46,14,227
2005-08-15,2005,3,8,34,15,2006,2,5,46,15,228
2005-08-16,2005,3,8,34,16,2006,2,5,46,16,229
2005-08-17,2005,3,8,34,17,2006,2,5,46,17,230
2005-08-18,2005,3,8,34,18,2006,2,5,46,18,231
2005-08-19,2005,3,8,34,19,2006,2,5,46,19,232
2005-08-20,2005,3,8,34,20,2006,2,5,46,20,233
2005-08-21,2005,3,8,35,21,2006,2,5,47,21,234
2005-08-22,2005,3,8,35,22,2006,2,5,47,22,235
2005-08-23,2005,3,8,35,23,2006,2,5,47,23,236
2005-08-24,2005,3,8,35,24,2006,2,5,47,24,237
2005-08-25,2005,3,8,35,25,2006,2,5,47,25,238
2005-08-26,2005,3,8,35,26,2006,2,5,47,26,239
2005-08-27,2005,3,8,35,27,2006,2,5,47,27,240
2005-08-28,2005,3,8,36,28,2006,2,5,48,28,241
2005-08-29,2005,3,8,36,29,2006,2,5,48,29,242
2005-08-30,2005,3,8,36,30,2006,2,5,48,30,243
2005-08-31,2005,3,8,36,31,2006,2,5,48,31,244
2005-09-01,2005,3,9,36,1,2006,2,6,48,1,245
2005-09-02,2005,3,9,36,2,2006,2,6,48,2,246
2005-09-03,2005,3,9,36,3,2006,2,6,48,3,247
2005-09-04,2005,3,9,37,4,2006,2,6,49,4,248
2005-09-05,2005,3,9,37,5,2006,2,6,49,5,249
2005-09-06,2005,3,9,37,6,2006,2,6,49,6,250
2005-09-07,2005,3,9,37,7,2006,2,6,49,7,251
2005-09-08,2005,3,9,37,8,2006,2,6,49,8,252
2005-09-09,2005,3,9,37,9,2006,2,6,49,9,253
2005-09-10,2005,3,9,37,10,2006,2,6,49,10,254
2005-09-11,2005,3,9,38,11,2006,2,6,50,11,255
2005-09-12,2005,3,9,38,12,2006,2,6,50,12,256
2005-09-13,2005,3,9,38,13,2006,2,6,50,13,257
2005-09-14,2005,3,9,38,14,2006,2,6,50,14,258
2005-09-15,2005,3,9,38,15,2006,2,6,50,15,259
2005-09-16,2005,3,9,38,16,2006,2,6,50,16,260
2005-09-17,2005,3,9,38,17,2006,2,6,50,17,261
2005-09-18,2005,3,9,39,18,2006,2,6,51,18,262
2005-09-19,2005,3,9,39,19,2006,2,6,51,19,263
2005-09-20,2005,3,9,39,20,2006,2,6,51,20,264
2005-09-21,2005,3,9,39,21,2006,2,6,51,21,265
2005-09-22,2005,3,9,39,22,2006,2,6,51,22,266
2005-09-23,2005,3,9,39,23,2006,2,6,51,23,267
2005-09-24,2005,3,9,39,24,2006,2,6,51,24,268
2005-09-25,2005,3,9,40,25,2006,2,6,52,25,269
2005-09-26,2005,3,9,40,26,2006,2,6,52,26,270
2005-09-27,2005,3,9,40,27,2006,2,6,52,27,271
2005-09-28,2005,3,9,40,28,2006,2,6,52,28,272
2005-09-29,2005,3,9,40,29,2006,2,6,52,29,273
2005-09-30,2005,3,9,40,30,2006,2,6,52,30,274
2005-10-01,2005,4,10,40,1,2006,3,7,52,1,275
2005-10-02,2005,4,10,41,2,2006,3,7,53,2,276
2005-10-03,2005,4,10,41,3,2006,3,7,53,3,277
2005-10-04,2005,4,10,41,4,2006,3,7,53,4,278
2005-10-05,2005,4,10,41,5,2006,3,7,53,5,279
2005-10-06,2005,4,10,41,6,2006,3,7,53,6,280
2005-10-07,2005,4,10,41,7,2006,3,7,53,7,281
2005-10-08,2005,4,10,41,8,2006,3,7,53,8,282
2005-10-09,2005,4,10,42,9,2006,3,7,54,9,283
2005-10-10,2005,4,10,42,10,2006,3,7,54,10,284
2005-10-11,2005,4,10,42,11,2006,3,7,54,11,285
2005-10-12,2005,4,10,42,12,2006,3,7,54,12,286
2005-10-13,2005,4,10,42,13,2006,3,7,54,13,287
2005-10-14,2005,4,10,42,14,2006,3,7,54,14,288
2005-10-15,2005,4,10,42,15,2006,3,7,54,15,289
2005-10-16,2005,4,10,43,16,2006,3,7,55,16,290
2005-10-17,2005,4,10,43,17,2006,3,7,55,17,291
2005-10-18,2005,4,10,43,18,2006,3,7,55,18,292
2005-10-19,2005,4,10,43,19,2006,3,7,55,19,293
2005-10-20,2005,4,10,43,20,2006,3,7,55,20,294
2005-10-21,2005,4,10,43,21,2006,3,7,55,21,295
2005-10-22,2005,4,10,43,22,2006,3,7,55,22,296
2005-10-23,2005,4,10,44,23,2006,3,7,56,23,297
2005-10-24,2005,4,10,44,24,2006,3,7,56,24,298
2005-10-25,2005,4,10,44,25,2006,3,7,56,25,299
2005-10-26,2005,4,10,44,26,2006,3,7,56,26,300
2005-10-27,2005,4,10,44,27,2006,3,7,56,27,301
2005-10-28,2005,4,10,44,28,2006,3,7,56,28,302
2005-10-29,2005,4,10,44,29,2006,3,7,56,29,303
2005-10-30,2005,4,10,45,30,2006,3,7,57,30,304
2005-10-31,2005,4,10,45,31,2006,3,7,57,31,305
2005-11-01,2005,4,11,45,1,2006,3,8,57,1,306
2005-11-02,2005,4,11,45,2,2006,3,8,57,2,307
2005-11-03,2005,4,11,45,3,2006,3,8,57,3,308
2005-11-04,2005,4,11,45,4,2006,3,8,57,4,309
2005-11-05,2005,4,11,45,5,2006,3,8,57,5,310
2005-11-06,2005,4,11,46,6,2006,3,8,58,6,311
2005-11-07,2005,4,11,46,7,2006,3,8,58,7,312
2005-11-08,2005,4,11,46,8,2006,3,8,58,8,313
2005-11-09,2005,4,11,46,9,2006,3,8,58,9,314
2005-11-10,2005,4,11,46,10,2006,3,8,58,10,315
2005-11-11,2005,4,11,46,11,2006,3,8,58,11,316
2005-11-12,2005,4,11,46,12,2006,3,8,58,12,317
2005-11-13,2005,4,11,47,13,2006,3,8,59,13,318
2005-11-14,2005,4,11,47,14,2006,3,8,59,14,319
2005-11-15,2005,4,11,47,15,2006,3,8,59,15,320
2005-11-16,2005,4,11,47,16,2006,3,8,59,16,321
2005-11-17,2005,4,11,47,17,2006,3,8,59,17,322
2005-11-18,2005,4,11,47,18,2006,3,8,59,18,323
2005-11-19,2005,4,11,47,19,2006,3,8,59,19,324
2005-11-20,2005,4,11,48,20,2006,3,8,60,20,325
2005-11-21,2005,4,11,48,21,2006,3,8,60,21,326
2005-11-22,2005,4,11,48,22,2006,3,8,60,22,327
2005-11-23,2005,4,11,48,23,2006,3,8,60,23,328
2005-11-24,2005,4,11,48,24,2006,3,8,60,24,329
2005-11-25,2005,4,11,48,25,2006,3,8,60,25,330
2005-11-26,2005,4,11,48,26,2006,3,8,60,26,331
2005-11-27,2005,4,11,49,27,2006,3,8,61,27,332
2005-11-28,2005,4,11,49,28,2006,3,8,61,28,333
2005-11-29,2005,4,11,49,29,2006,3,8,61,29,334
2005-11-30,2005,4,11,49,30,2006,3,8,61,30,335
2005-12-01,2005,4,12,49,1,2006,3,9,61,1,336
2005-12-02,2005,4,12,49,2,2006,3,9,61,2,337
2005-12-03,2005,4,12,49,3,2006,3,9,61,3,338
2005-12-04,2005,4,12,50,4,2006,3,9,62,4,339
2005-12-05,2005,4,12,50,5,2006,3,9,62,5,340
2005-12-06,2005,4,12,50,6,2006,3,9,62,6,341
2005-12-07,2005,4,12,50,7,2006,3,9,62,7,342
2005-12-08,2005,4,12,50,8,2006,3,9,62,8,343
2005-12-09,2005,4,12,50,9,2006,3,9,62,9,344
2005-12-10,2005,4,12,50,10,2006,3,9,62,10,345
2005-12-11,2005,4,12,51,11,2006,3,9,63,11,346
2005-12-12,2005,4,12,51,12,2006,3,9,63,12,347
2005-12-13,2005,4,12,51,13,2006,3,9,63,13,348
2005-12-14,2005,4,12,51,14,2006,3,9,63,14,349
2005-12-15,2005,4,12,51,15,2006,3,9,63,15,350
2005-12-16,2005,4,12,51,16,2006,3,9,63,16,351
2005-12-17,2005,4,12,51,17,2006,3,9,63,17,352
2005-12-18,2005,4,12,52,18,2006,3,9,64,18,353
2005-12-19,2005,4,12,52,19,2006,3,9,64,19,354
2005-12-20,2005,4,12,52,20,2006,3,9,64,20,355
2005-12-21,2005,4,12,52,21,2006,3,9,64,21,356
2005-12-22,2005,4,12,52,22,2006,3,9,64,22,357
2005-12-23,2005,4,12,52,23,2006,3,9,64,23,358
2005-12-24,2005,4,12,52,24,2006,3,9,64,24,359
2005-12-25,2005,4,12,53,25,2006,3,9,65,25,360
2005-12-26,2005,4,12,53,26,2006,3,9,65,26,361
2005-12-27,2005,4,12,53,27,2006,3,9,65,27,362
2005-12-28,2005,4,12,53,28,2006,3,9,65,28,363
2005-12-29,2005,4,12,53,29,2006,3,9,65,29,364
2005-12-30,2005,4,12,53,30,2006,3,9,65,30,365
2005-12-31,2005,4,12,53,31,2006,3,9,65,31,366
2006-01-01,2006,1,1,1,1,2006,4,10,41,1,367
2006-01-02,2006,1,1,1,2,2006,4,10,41,2,368
2006-01-03,2006,1,1,1,3,2006,4,10,41,3,369
2006-01-04,2006,1,1,1,4,2006,4,10,41,4,370
2006-01-05,2006,1,1,1,5,2006,4,10,41,5,371
2006-01-06,2006,1,1,1,6,2006,4,10,41,6,372
2006-01-07,2006,1,1,1,7,2006,4,10,41,7,373
2006-01-08,2006,1,1,2,8,2006,4,10,42,8,374
2006-01-09,2006,1,1,2,9,2006,4,10,42,9,375
2006-01-10,2006,1,1,2,10,2006,4,10,42,10,376
2006-01-11,2006,1,1,2,11,2006,4,10,42,11,377
2006-01-12,2006,1,1,2,12,2006,4,10,42,12,378
2006-01-13,2006,1,1,2,13,2006,4,10,42,13,379
2006-01-14,2006,1,1,2,14,2006,4,10,42,14,380
2006-01-15,2006,1,1,3,15,2006,4,10,43,15,381
2006-01-16,2006,1,1,3,16,2006,4,10,43,16,382
2006-01-17,2006,1,1,3,17,2006,4,10,43,17,383
2006-01-18,2006,1,1,3,18,2006,4,10,43,18,384
2006-01-19,2006,1,1,3,19,2006,4,10,43,19,385
2006-01-20,2006,1,1,3,20,2006,4,10,43,20,386
2006-01-21,2006,1,1,3,21,2006,4,10,43,21,387
2006-01-22,2006,1,1,4,22,2006,4,10,44,22,388
2006-01-23,2006,1,1,4,23,2006,4,10,44,23,389
2006-01-24,2006,1,1,4,24,2006,4,10,44,24,390
2006-01-25,2006,1,1,4,25,2006,4,10,44,25,391
2006-01-26,2006,1,1,4,26,2006,4,10,44,26,392
2006-01-27,2006,1,1,4,27,2006,4,10,44,27,393
2006-01-28,2006,1,1,4,28,2006,4,10,44,28,394
2006-01-29,2006,1,1,5,29,2006,4,10,45,29,395
2006-01-30,2006,1,1,5,30,2006,4,10,45,30,396
2006-01-31,2006,1,1,5,31,2006,4,10,45,31,397
2006-02-01,2006,1,2,5,1,2006,4,11,45,1,398
2006-02-02,2006,1,2,5,2,2006,4,11,45,2,399
2006-02-03,2006,1,2,5,3,2006,4,11,45,3,400
2006-02-04,2006,1,2,5,4,2006,4,11,45,4,401
2006-02-05,2006,1,2,6,5,2006,4,11,46,5,402
2006-02-06,2006,1,2,6,6,2006,4,11,46,6,403
2006-02-07,2006,1,2,6,7,2006,4,11,46,7,404
2006-02-08,2006,1,2,6,8,2006,4,11,46,8,405
2006-02-09,2006,1,2,6,9,2006,4,11,46,9,406
2006-02-10,2006,1,2,6,10,2006,4,11,46,10,407
2006-02-11,2006,1,2,6,11,2006,4,11,46,11,408
2006-02-12,2006,1,2,7,12,2006,4,11,47,12,409
2006-02-13,2006,1,2,7,13,2006,4,11,47,13,410
2006-02-14,2006,1,2,7,14,2006,4,11,47,14,411
2006-02-15,2006,1,2,7,15,2006,4,11,47,15,412
2006-02-16,2006,1,2,7,16,2006,4,11,47,16,413
2006-02-17,2006,1,2,7,17,2006,4,11,47,17,414
2006-02-18,2006,1,2,7,18,2006,4,11,47,18,415
2006-02-19,2006,1,2,8,19,2006,4,11,48,19,416
2006-02-20,2006,1,2,8,20,2006,4,11,48,20,417
2006-02-21,2006,1,2,8,21,2006,4,11,48,21,418
2006-02-22,2006,1,2,8,22,2006,4,11,48,22,419
2006-02-23,2006,1,2,8,23,2006,4,11,48,23,420
2006-02-24,2006,1,2,8,24,2006,4,11,48,24,421
2006-02-25,2006,1,2,8,25,2006,4,11,48,25,422
2006-02-26,2006,1,2,9,26,2006,4,11,49,26,423
2006-02-27,2006,1,2,9,27,2006,4,11,49,27,424
2006-02-28,2006,1,2,9,28,2006,4,11,49,28,425
2006-03-01,2006,1,3,9,1,2006,4,12,49,1,426
2006-03-02,2006,1,3,9,2,2006,4,12,49,2,427
2006-03-03,2006,1,3,9,3,2006,4,12,49,3,428
2006-03-04,2006,1,3,9,4,2006,4,12,49,4,429
2006-03-05,2006,1,3,10,5,2006,4,12,50,5,430
2006-03-06,2006,1,3,10,6,2006,4,12,50,6,431
2006-03-07,2006,1,3,10,7,2006,4,12,50,7,432
2006-03-08,2006,1,3,10,8,2006,4,12,50,8,433
2006-03-09,2006,1,3,10,9,2006,4,12,50,9,434
2006-03-10,2006,1,3,10,10,2006,4,12,50,10,435
2006-03-11,2006,1,3,10,11,2006,4,12,50,11,436
2006-03-12,2006,1,3,11,12,2006,4,12,51,12,437
2006-03-13,2006,1,3,11,13,2006,4,12,51,13,438
2006-03-14,2006,1,3,11,14,2006,4,12,51,14,439
2006-03-15,2006,1,3,11,15,2006,4,12,51,15,440
2006-03-16,2006,1,3,11,16,2006,4,12,51,16,441
2006-03-17,2006,1,3,11,17,2006,4,12,51,17,442
2006-03-18,2006,1,3,11,18,2006,4,12,51,18,443
2006-03-19,2006,1,3,12,19,2006,4,12,24,19,444
2006-03-20,2006,1,3,12,20,2006,4,12,24,20,445
2006-03-21,2006,1,3,12,21,2006,4,12,24,21,446
2006-03-22,2006,1,3,12,22,2006,4,12,24,22,447
