invoice,custID,prodID,salesDate,amt,qty,discounted
45,11,58,19-08-05,320,23,0
46,26,63,4/12/07,158,133,0
46,26,70,4/12/07,327,98,0
46,26,10,4/12/07,116,60,0
47,37,19,26-08-09,284,165,0
47,37,49,26-08-09,239,125,0
47,37,13,26-08-09,326,14,0
47,37,71,26-08-09,124,171,0
48,23,43,15-05-08,377,14,0
48,23,40,15-05-08,282,151,0
49,21,91,1/8/05,210,40,0
49,21,12,1/8/05,332,12,0
50,21,72,1/8/07,271,31,0
51,21,8,1/8/06,244,190,0
51,21,80,1/8/06,147,151,0
52,34,64,14-06-10,199,135,0
53,21,105,1/8/08,248,187,0
54,28,12,31-12-07,329,10,0
55,23,102,15-05-07,172,20,0
56,11,17,19-08-08,323,182,0
57,37,5,26-08-05,263,136,0
57,37,24,26-08-05,370,75,0
57,37,96,26-08-05,295,120,0
58,3,41,1/8/07,394,117,0
59,12,105,3/4/07,364,121,0
60,34,44,4/7/10,132,38,0
61,10,45,7/8/10,211,172,0
61,10,15,7/8/10,226,64,0
61,10,93,7/8/10,223,111,0
61,10,51,7/8/10,397,141,0
62,25,66,14-06-07,319,189,0
63,25,81,14-06-06,243,131,0
64,34,49,25-05-10,342,133,0
64,34,63,25-05-10,199,169,0
64,34,43,25-05-10,230,155,0
64,34,38,25-05-10,333,183,0
65,5,7,15-09-10,259,53,0
66,33,30,2/7/06,383,167,0
67,15,63,10/4/06,190,79,0
67,15,38,10/4/06,202,125,0
68,15,86,10/4/07,168,75,0
68,15,67,10/4/07,373,159,0
69,15,45,10/4/08,142,56,0
70,15,53,10/4/09,328,104,0
71,27,100,18-07-06,352,118,0
71,27,16,18-07-06,174,100,0
72,33,21,2/7/07,163,96,0
73,27,49,25-12-06,354,145,0
74,38,79,15-07-09,378,138,0
75,21,68,24-07-05,140,52,0
76,38,62,15-07-07,307,57,0
76,38,69,15-07-07,358,54,0
77,38,21,15-07-06,245,132,0
78,10,27,3/7/10,116,147,0
79,25,88,25-09-05,258,36,0
80,25,31,25-09-06,275,105,0
81,25,91,25-09-07,152,119,0
82,25,69,25-09-09,252,141,0
83,7,30,10/5/05,301,40,0
84,20,20,23-05-08,219,196,0
85,33,12,24-05-10,379,145,0
85,33,17,24-05-10,317,81,0
86,29,103,12/5/05,168,25,0
87,1,15,22-04-06,151,48,0
88,36,22,1/11/06,215,140,0
88,36,58,1/11/06,145,133,0
89,36,99,1/11/05,337,172,0
89,36,82,1/11/05,179,147,0
90,8,100,27-03-08,109,181,0
91,8,98,27-03-09,156,152,0
92,40,33,15-05-06,297,67,0
92,40,39,15-05-06,359,69,0
92,40,59,15-05-06,311,47,0
93,40,33,15-05-07,296,105,0
93,40,17,15-05-07,173,148,0
93,40,26,15-05-07,123,191,1
94,40,62,15-05-08,171,107,1
94,40,20,15-05-08,395,186,1
95,40,96,15-05-09,344,50,1
95,40,95,15-05-09,296,179,1
96,8,8,27-03-06,371,108,0
97,8,52,27-03-07,393,15,0
97,8,78,27-03-07,192,99,0
98,38,19,29-12-06,260,192,0
98,38,28,29-12-06,384,192,0
98,38,37,29-12-06,346,68,0
99,13,93,15-09-06,310,181,0
100,38,2,29-12-05,167,121,0
101,34,8,5/4/09,347,193,0
101,34,35,5/4/09,102,113,0
102,10,84,26-04-05,193,65,0
102,10,23,26-04-05,385,29,0
103,10,74,26-04-06,139,78,0
104,10,3,26-04-08,299,73,0
104,10,51,26-04-08,332,31,0
105,24,43,29-02-08,266,37,0
106,12,93,23-07-10,319,32,0
107,35,14,30-04-10,261,83,0
107,35,34,30-04-10,383,104,0
108,36,80,20-01-07,261,64,0
109,38,50,16-04-07,289,134,0
110,30,10,13-08-06,298,163,0
111,30,84,13-08-07,197,95,0
111,30,90,13-08-07,266,139,0
112,15,51,1/1/06,390,61,0
112,15,102,1/1/06,327,152,0
112,15,7,1/1/06,111,94,0
113,18,12,17-02-08,371,32,0
113,18,55,17-02-08,253,140,0
114,11,21,3/5/09,353,56,0
114,11,2,3/5/09,246,163,0
114,11,69,3/5/09,279,177,0
115,11,36,3/5/08,309,24,0
115,11,48,3/5/08,133,135,0
116,11,56,3/5/06,148,98,0
117,30,8,4/12/06,344,49,0
117,30,29,4/12/06,294,41,0
118,15,96,1/1/09,390,117,0
119,15,42,1/1/08,148,24,0
119,15,20,1/1/08,304,31,0
120,17,86,29-06-10,332,198,0
121,23,47,15-01-07,356,109,0
121,23,81,15-01-07,400,188,0
121,23,102,15-01-07,129,65,0
122,23,8,15-01-05,253,58,0
123,12,32,19-10-05,192,176,0
123,12,45,19-10-05,112,14,0
124,12,7,19-10-06,242,46,0
124,12,65,19-10-06,178,33,0
125,12,56,19-10-09,278,119,0
125,12,28,19-10-09,148,147,0
125,12,84,19-10-09,158,136,0
125,12,20,19-10-09,228,64,0
126,12,42,19-10-08,210,200,0
127,23,55,15-01-09,138,97,0
128,22,95,13-03-10,397,101,0
129,29,102,2/9/09,149,95,0
130,16,99,28-03-08,369,46,0
131,25,102,30-11-06,183,71,0
132,10,75,25-10-08,381,93,0
132,10,39,25-10-08,173,118,0
133,10,80,25-10-09,371,161,0
133,10,57,25-10-09,303,47,0
133,10,54,25-10-09,221,137,0
134,10,4,25-10-07,270,135,0
134,10,102,25-10-07,149,145,0
135,25,85,30-11-08,350,107,0
136,16,60,28-03-05,137,124,0
137,29,77,2/9/07,215,119,0
137,29,32,2/9/07,163,97,0
138,16,17,28-03-06,237,36,0
138,16,82,28-03-06,395,129,0
138,16,93,28-03-06,340,108,0
138,16,38,28-03-06,311,173,0
139,28,100,13-05-10,343,46,0
140,34,59,19-01-07,348,22,0
141,14,50,21-08-07,109,165,0
142,34,35,19-01-06,392,115,0
143,27,54,8/12/05,383,146,0
143,27,27,8/12/05,171,75,0
143,27,47,8/12/05,281,52,0
143,27,81,8/12/05,334,184,0
144,29,30,29-05-05,189,43,0
145,29,103,29-05-06,112,86,0
146,27,73,8/12/06,383,190,0
146,27,26,8/12/06,185,44,0
146,27,105,8/12/06,215,183,0
147,15,46,10/8/08,309,192,0
148,34,45,19-01-05,322,33,0
148,34,81,19-01-05,255,200,0
149,12,56,19-09-09,154,92,0
150,15,16,10/8/05,312,47,0
150,15,12,10/8/05,196,72,0
151,12,75,19-09-05,143,123,0
152,15,84,10/8/07,367,72,0
152,15,50,10/8/07,179,161,0
152,15,105,10/8/07,252,118,0
153,37,8,10/9/07,142,11,0
154,37,94,10/9/06,202,104,0
154,37,23,10/9/06,234,80,0
155,33,65,26-05-05,308,186,0
156,33,98,26-05-06,114,195,0
157,33,16,26-05-07,126,199,0
157,33,77,26-05-07,142,37,0
157,33,60,26-05-07,173,19,0
158,11,84,26-09-09,355,173,0
159,20,93,10/3/09,248,29,0
160,33,87,26-05-09,237,182,0
160,33,23,26-05-09,184,87,0
161,34,31,19-01-08,283,133,0
161,34,1,19-01-08,237,191,0
162,5,59,28-09-10,292,166,0
163,32,8,31-05-10,298,54,0
164,8,51,26-12-09,212,90,0
165,12,81,20-09-10,287,179,0
166,39,25,27-11-06,215,144,0
166,39,60,27-11-06,276,49,0
166,39,52,27-11-06,154,32,0
166,39,17,27-11-06,287,34,0
166,39,42,27-11-06,230,119,0
167,39,80,27-11-07,319,195,0
168,39,37,27-11-08,267,74,0
168,39,2,27-11-08,366,169,0
168,39,49,27-11-08,351,100,0
169,39,98,27-11-09,264,187,0
170,26,50,26-06-09,377,113,0
171,34,73,27-04-10,163,139,0
171,34,99,27-04-10,167,103,0
172,26,74,26-06-06,187,11,0
172,26,40,26-06-06,175,56,0
172,26,1,26-06-06,137,14,0
172,26,16,26-06-06,352,29,0
173,26,48,26-06-05,258,183,0
174,6,35,18-09-07,115,64,0
175,18,97,30-04-09,172,199,0
176,3,51,15-07-10,284,44,0
177,9,21,12/4/09,238,153,0
178,23,72,2/8/10,223,29,0
179,6,49,18-09-05,212,111,0
179,6,3,18-09-05,330,144,0
180,18,72,30-04-05,217,155,0
181,18,12,30-04-07,101,122,0
182,18,65,30-04-06,145,42,0
182,18,25,30-04-06,210,171,0
183,38,72,8/7/10,130,106,0
183,38,60,8/7/10,305,97,0
183,38,92,8/7/10,355,61,0
184,31,92,11/9/05,313,22,0
185,31,83,11/9/06,349,38,0
185,31,71,11/9/06,116,19,0
186,31,95,11/9/07,144,46,0
187,31,91,3/5/05,188,164,0
188,31,101,3/5/07,130,101,0
188,31,33,3/5/07,244,152,0
188,31,52,3/5/07,207,197,0
188,31,104,3/5/07,394,73,0
189,31,82,3/5/06,291,14,0
190,31,77,3/5/09,395,21,0
191,31,42,3/5/08,210,105,0
192,31,96,11/9/08,392,75,0
193,27,36,6/9/10,175,123,0
194,10,9,26-08-08,235,161,0
194,10,75,26-08-08,101,165,0
195,23,74,21-03-09,169,79,0
196,18,82,16-03-06,278,115,0
197,10,54,26-08-05,143,77,0
197,10,61,26-08-05,240,128,0
198,23,88,21-03-06,117,77,0
199,10,11,26-08-07,160,42,0
199,10,54,26-08-07,315,130,0
200,29,13,9/7/08,115,53,0
201,29,55,9/7/09,298,148,0
201,29,81,9/7/09,365,195,0
201,29,34,9/7/09,142,47,0
201,29,67,9/7/09,109,139,0
202,32,94,29-03-06,332,113,0
203,32,45,29-03-05,364,112,0
203,32,6,29-03-05,219,101,0
204,32,17,29-03-08,179,90,0
205,32,42,29-03-09,310,57,0
206,29,73,9/7/05,258,41,0
207,35,86,30-08-10,268,41,0
207,35,38,30-08-10,242,81,0
208,26,62,4/12/05,382,157,0
209,25,36,1/7/09,382,88,0
210,25,12,1/7/05,192,169,0
210,25,38,1/7/05,397,66,0
210,25,54,1/7/05,300,99,0
211,25,75,1/7/06,264,84,0
211,25,59,1/7/06,325,155,0
212,12,53,22-02-10,166,190,0
213,26,31,26-02-07,155,150,0
214,32,102,26-08-05,374,105,0
214,32,23,26-08-05,112,101,0
214,32,41,26-08-05,342,70,0
215,3,100,14-10-09,112,85,0
216,3,63,14-10-08,389,139,0
217,4,28,16-02-09,349,69,0
218,3,77,14-10-07,246,146,0
219,32,15,26-08-09,347,44,0
220,26,58,26-02-09,261,152,0
220,26,60,26-02-09,252,182,0
221,26,77,26-02-08,100,176,0
221,26,60,26-02-08,297,57,0
221,26,79,26-02-08,249,126,0
222,21,38,1/8/09,142,105,0
223,33,34,16-07-09,132,145,0
224,33,92,16-07-08,213,82,0
225,4,84,22-09-10,337,159,0
225,4,67,22-09-10,268,13,0
226,31,66,1/6/09,298,197,0
227,16,91,28-07-07,178,64,0
227,16,94,28-07-07,272,41,0
228,20,38,20-02-08,165,143,0
229,7,95,12/2/08,119,112,0
229,7,54,12/2/08,250,48,0
230,7,30,6/8/10,363,111,0
231,11,14,19-08-09,391,193,0
231,11,52,19-08-09,334,31,0
232,7,19,12/2/09,126,69,0
233,16,76,28-07-09,329,117,0
234,16,103,28-07-08,159,64,0
234,16,88,28-07-08,301,67,0
234,16,12,28-07-08,159,171,0
235,20,89,20-02-05,379,41,0
235,20,18,20-02-05,400,161,0
235,20,33,20-02-05,209,33,0
236,23,91,15-05-06,152,158,0
236,23,60,15-05-06,395,28,0
236,23,92,15-05-06,186,127,0
237,23,87,15-05-05,323,64,0
238,29,102,31-12-06,277,167,0
239,29,18,31-12-05,122,165,0
240,38,101,17-10-09,249,188,0
241,14,22,28-02-09,385,109,0
242,16,6,4/11/08,222,179,0
242,16,105,4/11/08,136,62,0
243,7,5,12/2/05,305,28,0
244,11,18,12/10/09,157,90,0
245,4,64,16-02-07,374,184,0
245,4,52,16-02-07,163,48,0
246,35,97,9/11/06,387,35,0
247,35,70,9/11/07,297,52,0
247,35,58,9/11/07,356,85,0
248,11,60,12/10/05,167,137,0
248,11,26,12/10/05,147,196,0
249,35,49,9/11/05,275,167,0
249,35,45,9/11/05,127,35,0
250,27,85,12/4/10,271,164,0
250,27,40,12/4/10,239,166,0
251,38,6,22-05-10,212,77,0
252,25,58,6/10/10,187,173,0
253,32,15,13-05-10,323,18,0
253,32,104,13-05-10,147,103,0
254,3,89,9/2/10,400,121,0
255,19,87,20-05-09,101,158,0
255,19,53,20-05-09,157,190,0
255,19,14,20-05-09,324,77,0
256,3,24,22-01-08,290,164,0
257,19,91,30-12-07,295,177,0
258,12,33,3/4/09,255,27,0
258,12,24,3/4/09,287,53,0
259,19,70,30-12-06,304,127,0
260,12,29,4/7/08,276,139,0
261,20,85,20-06-07,244,37,0
262,20,45,20-06-06,348,115,0
262,20,92,20-06-06,106,166,0
263,20,65,20-11-06,163,138,0
264,17,21,27-10-09,321,102,0
264,17,10,27-10-09,261,105,0
265,17,61,27-10-08,299,98,0
265,17,97,27-10-08,219,119,0
265,17,55,27-10-08,283,133,0
266,26,15,5/3/10,249,10,0
266,26,58,5/3/10,369,167,0
267,20,68,20-06-08,162,151,0
268,26,39,21-12-09,154,32,0
269,26,78,21-12-08,342,149,0
269,26,64,21-12-08,172,143,0
270,7,10,27-06-07,156,70,0
270,7,42,27-06-07,373,45,0
271,36,7,19-10-09,322,200,0
272,36,5,19-10-08,115,31,0
273,36,100,19-10-06,348,72,0
273,36,77,19-10-06,287,181,0
273,36,45,19-10-06,271,163,0
274,7,99,27-06-08,310,175,0
275,26,61,21-12-05,371,176,0
275,26,16,21-12-05,143,120,0
276,26,52,21-12-07,300,36,0
276,26,13,21-12-07,284,112,0
276,26,86,21-12-07,339,170,0
277,3,93,28-02-08,248,142,0
278,5,74,12/4/06,119,64,0
278,5,25,12/4/06,156,70,0
279,3,40,28-02-05,164,106,0
280,3,68,28-02-07,116,172,0
280,3,44,28-02-07,246,84,0
281,3,93,28-02-06,331,192,0
282,22,94,11/12/08,159,163,0
282,22,96,11/12/08,156,21,0
283,22,82,11/12/09,136,151,0
283,22,61,11/12/09,237,118,0
284,2,76,23-05-07,214,46,0
285,8,70,10/4/05,312,124,0
286,32,84,29-07-08,308,85,0
286,32,3,29-07-08,154,129,0
286,32,49,29-07-08,169,44,0
286,32,42,29-07-08,174,127,0
287,15,76,12/9/06,170,198,0
287,15,87,12/9/06,308,56,0
287,15,20,12/9/06,106,37,0
288,15,61,12/9/09,175,184,0
288,15,56,12/9/09,362,143,0
288,15,34,12/9/09,377,113,0
289,15,104,12/9/08,217,159,0
290,32,7,29-07-05,227,105,0
291,22,20,11/12/05,282,149,0
292,22,32,11/12/06,195,96,0
292,22,41,11/12/06,271,152,0
293,22,58,11/12/07,307,165,0
294,39,91,13-03-08,248,64,0
294,39,79,13-03-08,114,168,0
294,39,78,13-03-08,194,91,0
294,39,9,13-03-08,305,111,0
295,37,57,2/5/10,111,110,0
295,37,47,2/5/10,187,104,0
295,37,20,2/5/10,153,31,0
295,37,105,2/5/10,336,194,0
295,37,37,2/5/10,184,52,0
296,2,92,10/1/09,183,66,0
297,25,18,22-01-10,310,184,0
297,25,43,22-01-10,170,139,0
298,40,18,5/12/09,377,138,0
298,40,99,5/12/09,336,158,0
299,39,51,13-03-06,193,93,0
300,39,33,13-03-07,309,126,0
300,39,45,13-03-07,264,34,0
300,39,41,13-03-07,364,94,0
301,28,89,16-05-09,365,168,0
301,28,66,16-05-09,219,156,0
302,28,84,16-05-08,209,84,0
303,4,99,6/8/08,288,155,0
304,40,56,5/12/08,207,24,0
304,40,6,5/12/08,323,46,0
304,40,15,5/12/08,190,99,0
304,40,54,5/12/08,292,185,0
305,40,37,21-01-10,342,117,0
305,40,24,21-01-10,272,188,0
306,4,34,14-09-10,122,167,0
307,28,13,16-05-07,195,166,0
308,4,49,6/8/05,145,56,0
309,27,89,26-12-05,234,61,0
310,9,48,8/5/05,151,147,0
311,27,105,26-12-07,350,187,0
312,36,9,12/9/09,276,21,0
313,9,92,8/5/08,384,103,0
313,9,28,8/5/08,362,90,0
314,9,11,8/5/09,361,168,0
314,9,31,8/5/09,397,109,0
315,36,68,12/9/05,248,189,0
315,36,14,12/9/05,302,189,0
315,36,77,12/9/05,349,47,0
316,4,31,11/11/05,107,21,0
316,4,92,11/11/05,378,113,0
317,4,94,11/11/06,390,173,0
318,4,31,30-08-06,146,90,0
319,5,20,27-12-08,382,178,0
320,26,93,29-01-10,309,26,0
320,26,86,29-01-10,191,43,0
320,26,64,29-01-10,132,195,0
321,21,13,16-02-10,296,98,0
322,4,19,11/11/09,333,185,0
322,4,26,11/11/09,386,189,0
323,31,22,21-05-10,149,140,0
324,20,75,6/4/09,123,153,0
325,20,74,6/4/08,207,110,0
326,20,48,6/4/05,372,187,0
326,20,39,6/4/05,278,66,0
327,4,88,9/9/06,289,46,0
328,20,49,6/4/07,318,179,0
329,20,35,6/4/06,248,192,0
330,34,41,29-06-10,140,196,0
331,34,1,7/5/07,199,36,0
331,34,55,7/5/07,213,137,0
332,37,45,24-08-05,399,124,0
333,37,34,24-08-07,147,32,0
334,15,17,28-03-08,120,100,0
335,20,16,3/5/05,218,155,0
336,11,14,20-09-07,347,165,0
337,38,24,22-01-10,338,16,0
338,37,36,24-08-09,311,89,0
338,37,97,24-08-09,196,181,0
339,37,70,24-08-08,283,175,0
340,30,101,11/1/05,354,168,0
341,2,102,11/5/07,395,185,0
342,21,40,25-08-05,133,65,0
342,21,37,25-08-05,100,53,0
343,21,58,25-08-09,207,119,0
343,21,86,25-08-09,208,187,0
343,21,12,25-08-09,242,196,0
344,21,40,25-08-08,358,179,0
344,21,85,25-08-08,118,105,0
344,21,4,25-08-08,107,173,0
344,21,44,25-08-08,243,108,0
344,21,57,25-08-08,368,168,0
345,7,81,17-06-09,306,75,0
345,7,105,17-06-09,295,134,0
345,7,57,17-06-09,131,98,0
345,7,28,17-06-09,199,174,0
346,30,5,11/1/08,161,168,0
347,6,59,18-12-06,210,111,0
347,6,55,18-12-06,322,58,0
348,6,76,18-12-05,306,186,0
348,6,45,18-12-05,120,99,0
348,6,7,18-12-05,302,144,0
349,30,83,30-06-10,319,89,0
349,30,48,30-06-10,124,88,0
350,26,95,21-01-06,280,84,0
350,26,21,21-01-06,314,165,0
351,6,7,18-12-08,202,120,0
351,6,31,18-12-08,226,168,0
352,23,39,6/6/10,281,71,0
353,30,77,1/4/07,387,194,0
354,30,71,1/4/06,378,127,0
355,37,105,6/4/07,256,188,0
355,37,88,6/4/07,357,180,0
356,21,2,12/9/05,144,149,0
357,20,33,12/3/05,251,190,0
357,20,58,12/3/05,249,175,0
358,6,3,8/12/05,299,126,0
359,6,79,8/12/07,230,148,0
360,6,62,8/12/06,273,97,0
361,37,62,6/4/09,188,105,0
361,37,78,6/4/09,257,126,0
362,30,34,1/4/09,149,47,0
363,1,22,28-10-10,365,184,0
363,1,91,28-10-10,249,138,0
363,1,29,28-10-10,251,125,0
363,1,89,28-10-10,389,136,0
363,1,19,28-10-10,186,169,0
364,28,27,6/7/08,245,106,0
365,28,36,6/7/09,304,139,0
366,5,92,7/11/09,209,17,0
366,5,61,7/11/09,137,104,0
367,27,4,9/2/05,114,192,0
367,27,69,9/2/05,128,46,0
368,14,57,28-03-06,252,112,0
369,27,50,9/2/07,391,80,0
369,27,39,9/2/07,207,29,0
369,27,89,9/2/07,162,120,0
370,27,67,9/2/06,251,124,0
371,27,16,9/2/09,269,99,0
372,27,87,9/2/08,275,145,0
372,27,76,9/2/08,195,80,0
373,14,37,28-03-09,389,140,0
373,14,58,28-03-09,370,56,0
374,5,18,7/11/06,161,171,0
374,5,14,7/11/06,347,195,0
375,5,5,7/11/07,351,12,0
376,28,25,6/7/07,218,39,0
377,8,93,10/11/05,270,150,0
377,8,37,10/11/05,381,109,0
378,8,86,10/11/07,288,109,0
379,8,48,10/11/06,356,123,0
379,8,59,10/11/06,240,155,0
379,8,96,10/11/06,240,92,0
380,8,53,10/11/08,260,17,0
381,32,21,3/12/06,304,196,0
381,32,32,3/12/06,344,114,0
382,32,36,3/12/07,243,151,0
382,32,84,3/12/07,131,134,0
382,32,28,3/12/07,295,10,0
383,5,88,12/10/09,387,180,0
384,2,93,23-06-08,303,114,0
385,8,4,6/8/07,379,162,0
386,8,38,24-02-07,177,47,0
386,8,29,24-02-07,344,48,0
386,8,28,24-02-07,172,126,0
387,8,32,24-02-09,382,160,0
387,8,83,24-02-09,153,39,0
388,24,60,6/2/10,390,59,0
388,24,102,6/2/10,378,151,0
389,8,80,6/8/08,340,198,0
389,8,35,6/8/08,275,63,0
390,27,55,18-07-09,153,133,0
390,27,25,18-07-09,320,191,0
390,27,45,18-07-09,175,124,0
391,40,15,18-12-09,231,23,0
392,25,52,16-12-08,279,144,0
393,15,66,11/9/09,146,190,0
393,15,104,11/9/09,271,107,0
394,12,28,4/9/05,377,31,0
395,12,82,4/9/07,217,169,0
395,12,89,4/9/07,104,27,0
396,7,94,17-06-06,200,43,0
397,12,54,4/9/09,238,183,0
398,12,73,4/9/08,319,98,0
399,25,21,16-12-06,343,37,0
400,25,43,16-12-07,362,179,0
401,25,87,16-12-05,148,150,0
402,24,57,16-02-05,231,28,0
403,1,23,12/8/09,146,106,0
404,31,87,26-05-07,190,180,0
404,31,45,26-05-07,290,15,0
405,24,56,23-11-06,370,183,0
406,31,85,26-05-05,110,49,0
407,24,93,23-11-08,317,95,0
407,24,90,23-11-08,266,198,0
408,24,91,23-11-09,249,71,0
408,24,15,23-11-09,386,197,0
408,24,27,23-11-09,370,197,0
409,31,33,26-05-08,184,92,0
410,31,12,26-05-09,301,63,0
411,1,44,12/8/06,129,52,0
412,1,98,12/8/07,221,160,0
413,18,104,30-07-10,356,22,0
414,34,57,20-01-07,259,88,0
415,34,15,20-01-05,223,82,0
415,34,37,20-01-05,145,80,0
415,34,94,20-01-05,125,12,0
416,15,11,2/2/08,108,77,0
416,15,13,2/2/08,337,155,0
416,15,47,2/2/08,133,111,0
417,15,41,2/2/07,361,104,0
418,34,70,20-01-09,267,117,0
419,34,29,20-01-08,315,179,0
420,28,43,16-01-05,174,145,0
421,1,88,5/11/06,297,192,0
421,1,58,5/11/06,384,100,0
422,28,47,16-01-06,231,73,0
422,28,38,16-01-06,165,77,0
423,2,47,14-09-10,159,34,0
423,2,9,14-09-10,333,34,0
424,1,5,5/11/08,229,198,0
424,1,51,5/11/08,315,41,0
425,28,21,16-01-08,306,103,0
425,28,81,16-01-08,194,155,0
425,28,6,16-01-08,290,75,0
426,1,79,12/12/06,182,159,0
426,1,71,12/12/06,290,105,0
427,15,20,11/11/09,390,110,0
428,27,32,7/11/09,400,162,0
428,27,57,7/11/09,359,63,0
429,27,84,7/11/07,359,25,0
430,27,53,7/11/06,258,198,0
431,15,13,11/11/08,278,100,0
431,15,5,11/11/08,163,138,0
431,15,58,11/11/08,214,22,0
432,4,28,16-01-06,185,80,0
432,4,39,16-01-06,307,12,0
433,10,93,21-01-08,315,189,0
434,10,2,21-01-09,363,118,0
435,11,43,22-04-09,244,138,0
436,4,59,16-01-07,118,176,0
436,4,74,16-01-07,219,102,0
437,11,86,23-12-05,163,95,0
437,11,29,23-12-05,395,135,0
437,11,51,23-12-05,245,127,0
438,10,55,21-01-05,377,44,0
439,10,26,21-01-06,327,95,0
440,11,67,23-12-06,358,175,0
441,15,72,11/11/05,230,31,0
441,15,60,11/11/05,355,94,0
442,4,29,30-09-08,205,158,0
442,4,36,30-09-08,357,42,0
443,24,98,27-11-07,391,191,0
444,26,53,20-07-07,235,163,0
444,26,55,20-07-07,334,75,0
444,26,84,20-07-07,197,112,0
445,26,95,20-07-05,235,60,0
445,26,83,20-07-05,136,169,0
446,26,48,20-07-08,143,61,0
446,26,95,20-07-08,268,113,0
446,26,59,20-07-08,214,118,0
447,4,49,30-09-06,282,184,0
448,4,54,30-09-07,157,170,0
448,4,96,30-09-07,379,61,0
449,16,3,5/9/10,188,129,0
449,16,94,5/9/10,329,130,0
450,9,35,7/11/06,257,42,0
451,9,86,7/11/07,229,43,0
452,32,76,2/10/05,280,95,0
453,9,53,7/11/05,148,129,0
454,2,103,11/1/09,372,89,0
454,2,55,11/1/09,268,78,0
455,2,34,11/1/08,295,197,0
456,11,25,19-04-09,379,23,0
457,11,100,19-04-08,298,191,0
458,12,35,18-09-09,145,86,0
459,26,81,7/8/07,279,124,0
459,26,9,7/8/07,343,183,0
460,3,98,20-06-05,105,176,0
460,3,57,20-06-05,205,46,0
461,3,34,20-06-07,335,159,0
461,3,84,20-06-07,172,80,0
462,8,51,7/11/09,138,171,0
462,8,103,7/11/09,139,189,0
463,8,47,7/11/08,111,176,0
464,40,19,30-03-06,229,37,0
464,40,60,30-03-06,145,92,0
465,40,48,30-03-09,343,156,0
466,40,55,30-03-08,160,31,0
466,40,71,30-03-08,280,159,0
467,8,73,7/11/06,122,51,0
467,8,43,7/11/06,183,108,0
468,12,29,21-05-10,153,91,0
468,12,30,21-05-10,137,89,0
468,12,21,21-05-10,163,141,0
469,30,78,11/10/05,143,70,0
469,30,87,11/10/05,220,152,0
470,40,33,19-07-07,140,21,0
471,30,75,11/10/07,315,55,0
472,30,41,11/10/06,370,87,0
473,30,51,11/10/09,247,10,0
474,40,32,19-07-08,209,26,0
474,40,35,19-07-08,377,95,0
475,30,56,25-07-10,130,180,0
476,25,7,17-03-05,276,64,0
476,25,45,17-03-05,172,192,0
476,25,100,17-03-05,182,113,0
