PRODID,ProductName,PRICE1,PRICE2,UNITCOST,SupplierName,ADDR1,ADDR2,CITY,STATE,ZIP,PRODTYPEID,TYPEDESCRIPTION,BUID,Name,Abbrev,Prod_SK,Version,Valid_From,Valid_To
36,Bomber Photo Equipment               ,461.3,400.4,380.4,American General Ventures Inc ,  Kimberly Yarborough     ,1616 Goggles Drive    ,Sterling        ,KS  ,67579,1,Photo Equipment    ,A,Processing Equipment,Equipment    ,13,1,2017-01-01,2099-01-01
55,Bumblers Plastic Supplies            ,545.3,466.2,447.6,First Bancshares Inc Mo       ,  Jensine Lease           ,11885 Aural Turnpike  ,Louisville      ,KY  ,40253,7,Plastic Supplies   ,B,Disposable Supplies ,Supplies     ,14,1,2017-01-01,2099-01-01
42,Carelessly Freezing Chemicals        ,559.7,467.9,425.8,Dollar General Corporation    ,  Antoinette Hickey       ,3988 Chanced Avenue   ,S Middleton     ,PA  ,17007,11,Freezing Chemicals ,C,Chemicals           ,Chemical     ,15,1,2017-01-01,2099-01-01
25,Chalmers Polishing Equipment         ,289.2,242.6,223.2,American General Ventures Inc ,  Kimberly Yarborough     ,1616 Goggles Drive    ,Sterling        ,KS  ,67579,3,Polishing Equipment,A,Processing Equipment,Equipment    ,16,1,2017-01-01,2099-01-01
58,Characterization Plastic Supplies    ,231.7,185.6,168.9,Fedders Corporation           ,  Virgil Hubert           ,7844 Carelessly Drive ,Overlook        ,WA  ,98366,7,Plastic Supplies   ,B,Disposable Supplies ,Supplies     ,17,1,2017-01-01,2099-01-01
32,Chartable Photo Equipment            ,410.2,347.4,312.7,Black Hills Corporation       ,  Edena Gilbert           ,1618 Greenland Street ,Tallahassee     ,FL  ,32304,1,Photo Equipment    ,A,Processing Equipment,Equipment    ,18,1,2017-01-01,2099-01-01
35,Chromium Photo Equipment             ,565.5,457.5,425.5,Fedders Corporation           ,  Virgil Hubert           ,7844 Carelessly Drive ,Overlook        ,WA  ,98366,1,Photo Equipment    ,A,Processing Equipment,Equipment    ,19,1,2017-01-01,2099-01-01
7,Commendation Fillers                 ,436.3,380,364.8,Fedders Corporation           ,  Virgil Hubert           ,7844 Carelessly Drive ,Overlook        ,WA  ,98366,12,Fillers            ,D,Miscellaneous       ,Miscellaneous,20,1,2017-01-01,2099-01-01
37,Concentrators Polishing Equipment    ,584.6,524.9,482.9,Immunex Corporation           ,  Elbert Glad             ,5841 Pervades Drive   ,Fairfax         ,VA  ,22035,3,Polishing Equipment,A,Processing Equipment,Equipment    ,21,1,2017-01-01,2099-01-01
41,Consideration Tray Supplies          ,172.6,146.8,139.5,American General Ventures Inc ,  Kimberly Yarborough     ,1616 Goggles Drive    ,Sterling        ,KS  ,67579,8,Tray Supplies      ,B,Disposable Supplies ,Supplies     ,22,1,2017-01-01,2099-01-01
33,Consumable Tray Supplies             ,395.7,347.4,337,First Bancshares Inc Mo       ,  Jensine Lease           ,11885 Aural Turnpike  ,Louisville      ,KY  ,40253,8,Tray Supplies      ,B,Disposable Supplies ,Supplies     ,23,1,2017-01-01,2099-01-01
73,Cosgrove Jacks                       ,298.9,267.8,254.4,Afg Industries Inc.           ,  Dorothy Polk            ,5377 Cookbook Circle  ,Vero Beach      ,FL  ,32967,15,Jacks              ,D,Miscellaneous       ,Miscellaneous,24,1,2017-01-01,2099-01-01
61,Courthouses Manufacturing Equipment  ,285.6,243.6,231.4,First Bancshares Inc Mo       ,  Jensine Lease           ,11885 Aural Turnpike  ,Louisville      ,KY  ,40253,2,Manufacturing Equip,A,Processing Equipment,Equipment    ,25,1,2017-01-01,2099-01-01
13,Coward Covers                        ,429.8,349,328.1,Fedders Corporation           ,  Virgil Hubert           ,7844 Carelessly Drive ,Overlook        ,WA  ,98366,13,Covers             ,D,Miscellaneous       ,Miscellaneous,26,1,2017-01-01,2099-01-01
90,Curiouser Cleaning Supplies          ,419.4,364.4,338.9,Dollar General Corporation    ,  Antoinette Hickey       ,3988 Chanced Avenue   ,S Middleton     ,PA  ,17007,5,Cleaning Supplies  ,B,Disposable Supplies ,Supplies     ,27,1,2017-01-01,2099-01-01
23,Decided Tray Supplies                ,233.3,202.3,198.2,Dollar General Corporation    ,  Antoinette Hickey       ,3988 Chanced Avenue   ,S Middleton     ,PA  ,17007,8,Tray Supplies      ,B,Disposable Supplies ,Supplies     ,28,1,2017-01-01,2099-01-01
10,Defeated Tray Supplies               ,559.7,476.9,448.3,American General Ventures Inc ,  Kimberly Yarborough     ,1616 Goggles Drive    ,Sterling        ,KS  ,67579,8,Tray Supplies      ,B,Disposable Supplies ,Supplies     ,29,1,2017-01-01,2099-01-01
75,Deferrable Freezing Chemicals        ,145,124.4,113.2,Sinclair Broadcast Group Inc. ,  Carla Shelby            ,6037 Ecuadorian Street,Clinton         ,MI  ,49236,11,Freezing Chemicals ,C,Chemicals           ,Chemical     ,30,1,2017-01-01,2099-01-01
21,Denigrating Polishing Equipment      ,566,454.5,427.2,First Bancshares Inc Mo       ,  Jensine Lease           ,11885 Aural Turnpike  ,Louisville      ,KY  ,40253,3,Polishing Equipment,A,Processing Equipment,Equipment    ,31,1,2017-01-01,2099-01-01
30,Detectives Jacks                     ,283.3,248.5,236.1,Specialty Teleconstructors Inc,  Zylina Cox              ,2161 Chalmers Street  ,Salinas         ,CA  ,93905,15,Jacks              ,D,Miscellaneous       ,Miscellaneous,32,1,2017-01-01,2099-01-01
85,Disallow Manufacturing Equipment     ,165.2,145.9,144.4,Dollar General Corporation    ,  Antoinette Hickey       ,3988 Chanced Avenue   ,S Middleton     ,PA  ,17007,2,Manufacturing Equip,A,Processing Equipment,Equipment    ,33,1,2017-01-01,2099-01-01
15,Disposed Fillers                     ,158.8,138,132.5,Fedders Corporation           ,  Virgil Hubert           ,7844 Carelessly Drive ,Overlook        ,WA  ,98366,12,Fillers            ,D,Miscellaneous       ,Miscellaneous,34,1,2017-01-01,2099-01-01
46,Distantly Paper Supplies             ,518.5,436.1,418.6,First Bancshares Inc Mo       ,  Jensine Lease           ,11885 Aural Turnpike  ,Louisville      ,KY  ,40253,6,Paper Supplies     ,B,Disposable Supplies ,Supplies     ,35,1,2017-01-01,2099-01-01
96,Drafty Cleaning Supplies             ,107.1,92.7,89,Black Hills Corporation       ,  Edena Gilbert           ,1618 Greenland Street ,Tallahassee     ,FL  ,32304,5,Cleaning Supplies  ,B,Disposable Supplies ,Supplies     ,36,1,2017-01-01,2099-01-01
95,Duplicator Polishing Equipment       ,544.3,465.4,432.8,Afg Industries Inc.           ,  Dorothy Polk            ,5377 Cookbook Circle  ,Vero Beach      ,FL  ,32967,3,Polishing Equipment,A,Processing Equipment,Equipment    ,37,1,2017-01-01,2099-01-01
4,Embodying Cleaning Supplies          ,250.9,213.5,207.1,Immunex Corporation           ,  Elbert Glad             ,5841 Pervades Drive   ,Fairfax         ,VA  ,22035,5,Cleaning Supplies  ,B,Disposable Supplies ,Supplies     ,38,1,2017-01-01,2099-01-01
14,Engle Photo Chemicals                ,429.9,346.1,342.6,Black Hills Corporation       ,  Edena Gilbert           ,1618 Greenland Street ,Tallahassee     ,FL  ,32304,9,Photo Chemicals    ,C,Chemicals           ,Chemical     ,39,1,2017-01-01,2099-01-01
16,Enhanced Covers                      ,461,384.4,361.4,Dollar General Corporation    ,  Antoinette Hickey       ,3988 Chanced Avenue   ,S Middleton     ,PA  ,17007,13,Covers             ,D,Miscellaneous       ,Miscellaneous,40,1,2017-01-01,2099-01-01
1,Enumerator Polishing Equipment       ,165,142.5,135.4,American General Ventures Inc ,  Kimberly Yarborough     ,1616 Goggles Drive    ,Sterling        ,KS  ,67579,3,Polishing Equipment,A,Processing Equipment,Equipment    ,41,1,2017-01-01,2099-01-01
70,Escape Manufacturing Equipment       ,584.4,523.6,507.9,Black Hills Corporation       ,  Edena Gilbert           ,1618 Greenland Street ,Tallahassee     ,FL  ,32304,2,Manufacturing Equip,A,Processing Equipment,Equipment    ,42,1,2017-01-01,2099-01-01
66,Exemplar Freezing Chemicals          ,198.4,160.9,152.8,Fedders Corporation           ,  Virgil Hubert           ,7844 Carelessly Drive ,Overlook        ,WA  ,98366,11,Freezing Chemicals ,C,Chemicals           ,Chemical     ,43,1,2017-01-01,2099-01-01
65,Extinguisher Manufacturing Equipment ,120.4,98.4,90.5,Sinclair Broadcast Group Inc. ,  Carla Shelby            ,6037 Ecuadorian Street,Clinton         ,MI  ,49236,2,Manufacturing Equip,A,Processing Equipment,Equipment    ,44,1,2017-01-01,2099-01-01
20,Flake Photo Equipment                ,232.3,204.4,194.2,Sinclair Broadcast Group Inc. ,  Carla Shelby            ,6037 Ecuadorian Street,Clinton         ,MI  ,49236,1,Photo Equipment    ,A,Processing Equipment,Equipment    ,45,1,2017-01-01,2099-01-01
74,Flanker Fillers                      ,271.4,236.2,219.6,Dollar General Corporation    ,  Antoinette Hickey       ,3988 Chanced Avenue   ,S Middleton     ,PA  ,17007,12,Fillers            ,D,Miscellaneous       ,Miscellaneous,46,1,2017-01-01,2099-01-01
60,Habitually Manufacturing Equipment   ,509.3,419.1,394,Black Hills Corporation       ,  Edena Gilbert           ,1618 Greenland Street ,Tallahassee     ,FL  ,32304,2,Manufacturing Equip,A,Processing Equipment,Equipment    ,47,1,2017-01-01,2099-01-01
19,Hesitating Jacks                     ,124.5,100.1,96.1,First Bancshares Inc Mo       ,  Jensine Lease           ,11885 Aural Turnpike  ,Louisville      ,KY  ,40253,15,Jacks              ,D,Miscellaneous       ,Miscellaneous,48,1,2017-01-01,2099-01-01
69,Hits Tray Supplies                   ,439.5,359.1,341.1,Black Hills Corporation       ,  Edena Gilbert           ,1618 Greenland Street ,Tallahassee     ,FL  ,32304,8,Tray Supplies      ,B,Disposable Supplies ,Supplies     ,49,1,2017-01-01,2099-01-01
54,Honeymoon Photo Chemicals            ,326.1,292.2,271.8,Afg Industries Inc.           ,  Dorothy Polk            ,5377 Cookbook Circle  ,Vero Beach      ,FL  ,32967,9,Photo Chemicals    ,C,Chemicals           ,Chemical     ,50,1,2017-01-01,2099-01-01
83,Horses Lifts                         ,487.3,402.5,366.3,Saurer Gruppe Holding Ag      ,  Pearce Valdez           ,3727 Elms Drive       ,South Saint Paul,MN  ,55077,14,Lifts              ,D,Miscellaneous       ,Miscellaneous,51,1,2017-01-01,2099-01-01
52,Identical Freezing Chemicals         ,578.1,465.9,447.3,Sinclair Broadcast Group Inc. ,  Carla Shelby            ,6037 Ecuadorian Street,Clinton         ,MI  ,49236,11,Freezing Chemicals ,C,Chemicals           ,Chemical     ,52,1,2017-01-01,2099-01-01
40,Insensitivity Manufacturing Equipment,200.7,180.4,169.6,First Bancshares Inc Mo       ,  Jensine Lease           ,11885 Aural Turnpike  ,Louisville      ,KY  ,40253,2,Manufacturing Equip,A,Processing Equipment,Equipment    ,53,1,2017-01-01,2099-01-01
105,Just Paper Supplies                  ,278.6,201.3,192.7,Afg Industries Inc.           ,  Dorothy Polk            ,5377 Cookbook Circle  ,Vero Beach      , FL ,32967,6,Paper Supplies     ,B,Disposable Supplies ,Supplies     ,54,1,2017-01-01,2099-01-01
104,LCARS Covers                         ,289.4,231.4,211.8,Fedders Corporation           ,  Virgil Hubert           ,7844 Carelessly Drive ,Overlook        , WA ,98366,13,Covers             ,D,Miscellaneous       ,Miscellaneous,55,1,2017-01-01,2099-01-01
68,Loaves Polishing Equipment           ,425.6,361.3,354.1,Afg Industries Inc.           ,  Dorothy Polk            ,5377 Cookbook Circle  ,Vero Beach      ,FL  ,32967,3,Polishing Equipment,A,Processing Equipment,Equipment    ,56,1,2017-01-01,2099-01-01
78,Measured Photo Chemicals             ,318.1,270.7,254.4,Immunex Corporation           ,  Elbert Glad             ,5841 Pervades Drive   ,Fairfax         ,VA  ,22035,9,Photo Chemicals    ,C,Chemicals           ,Chemical     ,57,1,2017-01-01,2099-01-01
9,Millimeters Flushing Chemicals       ,295.6,251.8,241.8,Afg Industries Inc.           ,  Dorothy Polk            ,5377 Cookbook Circle  ,Vero Beach      ,FL  ,32967,10,Flushing Chemicals ,C,Chemicals           ,Chemical     ,58,1,2017-01-01,2099-01-01
18,Miniaturizing Manufacturing Equipment,456.2,379.6,353,American General Ventures Inc ,  Kimberly Yarborough     ,1616 Goggles Drive    ,Sterling        ,KS  ,67579,2,Manufacturing Equip,A,Processing Equipment,Equipment    ,59,1,2017-01-01,2099-01-01
82,Numerals Covers                      ,102.9,89,83.6,Sinclair Broadcast Group Inc. ,  Carla Shelby            ,6037 Ecuadorian Street,Clinton         ,MI  ,49236,13,Covers             ,D,Miscellaneous       ,Miscellaneous,60,1,2017-01-01,2099-01-01
67,Occlusion Manufacturing Equipment    ,199.9,177.3,164.9,Afg Industries Inc.           ,  Dorothy Polk            ,5377 Cookbook Circle  ,Vero Beach      ,FL  ,32967,2,Manufacturing Equip,A,Processing Equipment,Equipment    ,61,1,2017-01-01,2099-01-01
17,Optima Cleaning Supplies             ,288.4,255.5,242.8,American General Ventures Inc ,  Kimberly Yarborough     ,1616 Goggles Drive    ,Sterling        ,KS  ,67579,5,Cleaning Supplies  ,B,Disposable Supplies ,Supplies     ,62,1,2017-01-01,2099-01-01
39,Overlays Plastic Supplies            ,301.1,254.4,241.7,Afg Industries Inc.           ,  Dorothy Polk            ,5377 Cookbook Circle  ,Vero Beach      ,FL  ,32967,7,Plastic Supplies   ,B,Disposable Supplies ,Supplies     ,63,1,2017-01-01,2099-01-01
81,Palm Polishing Equipment             ,122.4,105.4,103.3,Black Hills Corporation       ,  Edena Gilbert           ,1618 Greenland Street ,Tallahassee     ,FL  ,32304,3,Polishing Equipment,A,Processing Equipment,Equipment    ,64,1,2017-01-01,2099-01-01
48,Patriarchal Cleaning Supplies        ,351.5,284.8,264.8,Sinclair Broadcast Group Inc. ,  Carla Shelby            ,6037 Ecuadorian Street,Clinton         ,MI  ,49236,5,Cleaning Supplies  ,B,Disposable Supplies ,Supplies     ,65,1,2017-01-01,2099-01-01
100,Pervasively Manufacturing Equipment  ,374.1,334.9,308.1,American General Ventures Inc ,  Kimberly Yarborough     ,1616 Goggles Drive    ,Sterling        ,KS  ,67579,2,Manufacturing Equip,A,Processing Equipment,Equipment    ,66,1,2017-01-01,2099-01-01
27,Pinnings Plastic Supplies            ,337.2,302.4,287.3,Saurer Gruppe Holding Ag      ,  Pearce Valdez           ,3727 Elms Drive       ,South Saint Paul,MN  ,55077,7,Plastic Supplies   ,B,Disposable Supplies ,Supplies     ,67,1,2017-01-01,2099-01-01
6,Planetesimal Manufacturing Equipment ,347.3,307,285.5,First Bancshares Inc Mo       ,  Jensine Lease           ,11885 Aural Turnpike  ,Louisville      ,KY  ,40253,2,Manufacturing Equip,A,Processing Equipment,Equipment    ,68,1,2017-01-01,2099-01-01
51,Reflection Lifts                     ,497.9,447.6,438.6,Fedders Corporation           ,  Virgil Hubert           ,7844 Carelessly Drive ,Overlook        ,WA  ,98366,14,Lifts              ,D,Miscellaneous       ,Miscellaneous,69,1,2017-01-01,2099-01-01
50,Restarts Paper Supplies              ,524.4,448.3,425.9,Specialty Teleconstructors Inc,  Zylina Cox              ,2161 Chalmers Street  ,Salinas         ,CA  ,93905,6,Paper Supplies     ,B,Disposable Supplies ,Supplies     ,70,1,2017-01-01,2099-01-01
99,Richards Freezing Chemicals          ,529.4,475.4,470.6,Dollar General Corporation    ,  Antoinette Hickey       ,3988 Chanced Avenue   ,S Middleton     ,PA  ,17007,11,Freezing Chemicals ,C,Chemicals           ,Chemical     ,71,1,2017-01-01,2099-01-01
53,Ruffle Freezing Chemicals            ,476.4,394.9,379.1,Immunex Corporation           ,  Elbert Glad             ,5841 Pervades Drive   ,Fairfax         ,VA  ,22035,11,Freezing Chemicals ,C,Chemicals           ,Chemical     ,72,1,2017-01-01,2099-01-01
34,Sailors Manufacturing Equipment      ,340.5,290.4,278.8,Dollar General Corporation    ,  Antoinette Hickey       ,3988 Chanced Avenue   ,S Middleton     ,PA  ,17007,2,Manufacturing Equip,A,Processing Equipment,Equipment    ,73,1,2017-01-01,2099-01-01
91,Scribble Plastic Supplies            ,492.4,405.7,397.6,Specialty Teleconstructors Inc,  Zylina Cox              ,2161 Chalmers Street  ,Salinas         ,CA  ,93905,7,Plastic Supplies   ,B,Disposable Supplies ,Supplies     ,74,1,2017-01-01,2099-01-01
76,Scrounge Jacks                       ,301.6,251.2,248.7,Dollar General Corporation    ,  Antoinette Hickey       ,3988 Chanced Avenue   ,S Middleton     ,PA  ,17007,15,Jacks              ,D,Miscellaneous       ,Miscellaneous,75,1,2017-01-01,2099-01-01
8,Septembers Manufacturing Equipment   ,584.3,523,517.8,Fedders Corporation           ,  Virgil Hubert           ,7844 Carelessly Drive ,Overlook        ,WA  ,98366,2,Manufacturing Equip,A,Processing Equipment,Equipment    ,76,1,2017-01-01,2099-01-01
79,Siena Plastic Supplies               ,155,136.4,132.3,Black Hills Corporation       ,  Edena Gilbert           ,1618 Greenland Street ,Tallahassee     ,FL  ,32304,7,Plastic Supplies   ,B,Disposable Supplies ,Supplies     ,77,1,2017-01-01,2099-01-01
47,Significants Freezing Chemicals      ,141.6,113.2,104.2,Dollar General Corporation    ,  Antoinette Hickey       ,3988 Chanced Avenue   ,S Middleton     ,PA  ,17007,11,Freezing Chemicals ,C,Chemicals           ,Chemical     ,78,1,2017-01-01,2099-01-01
31,Simplifier Tray Supplies             ,408.8,349.1,328.2,Saurer Gruppe Holding Ag      ,  Pearce Valdez           ,3727 Elms Drive       ,South Saint Paul,MN  ,55077,8,Tray Supplies      ,B,Disposable Supplies ,Supplies     ,79,1,2017-01-01,2099-01-01
71,Simulations Photo Equipment          ,318.4,255.7,245.4,Black Hills Corporation       ,  Edena Gilbert           ,1618 Greenland Street ,Tallahassee     ,FL  ,32304,1,Photo Equipment    ,A,Processing Equipment,Equipment    ,80,1,2017-01-01,2099-01-01
45,Slacking Jacks                       ,495,400,388,Dollar General Corporation    ,  Antoinette Hickey       ,3988 Chanced Avenue   ,S Middleton     ,PA  ,17007,15,Jacks              ,D,Miscellaneous       ,Miscellaneous,81,1,2017-01-01,2099-01-01
3,Sortie Covers                        ,248.2,213.2,206.8,Fedders Corporation           ,  Virgil Hubert           ,7844 Carelessly Drive ,Overlook        ,WA  ,98366,13,Covers             ,D,Miscellaneous       ,Miscellaneous,82,1,2017-01-01,2099-01-01
57,South Tray Supplies                  ,241.3,205.1,203.1,Sinclair Broadcast Group Inc. ,  Carla Shelby            ,6037 Ecuadorian Street,Clinton         ,MI  ,49236,8,Tray Supplies      ,B,Disposable Supplies ,Supplies     ,83,1,2017-01-01,2099-01-01
86,Soya Cleaning Supplies               ,406.9,345.9,345.9,Specialty Teleconstructors Inc,  Zylina Cox              ,2161 Chalmers Street  ,Salinas         ,CA  ,93905,5,Cleaning Supplies  ,B,Disposable Supplies ,Supplies     ,84,1,2017-01-01,2099-01-01
97,Stickiest Paper Supplies             ,575.9,502.8,467.6,Black Hills Corporation       ,  Edena Gilbert           ,1618 Greenland Street ,Tallahassee     ,FL  ,32304,6,Paper Supplies     ,B,Disposable Supplies ,Supplies     ,85,1,2017-01-01,2099-01-01
26,Subclasses Polishing Equipment       ,282.5,239,236.6,Saurer Gruppe Holding Ag      ,  Pearce Valdez           ,3727 Elms Drive       ,South Saint Paul,MN  ,55077,3,Polishing Equipment,A,Processing Equipment,Equipment    ,86,1,2017-01-01,2099-01-01
62,Substances Flushing Chemicals        ,507.3,409.9,397.6,Black Hills Corporation       ,  Edena Gilbert           ,1618 Greenland Street ,Tallahassee     ,FL  ,32304,10,Flushing Chemicals ,C,Chemicals           ,Chemical     ,87,1,2017-01-01,2099-01-01
87,Suing Manufacturing Equipment        ,482.2,426.7,401.1,First Bancshares Inc Mo       ,  Jensine Lease           ,11885 Aural Turnpike  ,Louisville      ,KY  ,40253,2,Manufacturing Equip,A,Processing Equipment,Equipment    ,88,1,2017-01-01,2099-01-01
11,Sulkiness Covers                     ,354.3,289.8,272.4,Dollar General Corporation    ,  Antoinette Hickey       ,3988 Chanced Avenue   ,S Middleton     ,PA  ,17007,13,Covers             ,D,Miscellaneous       ,Miscellaneous,89,1,2017-01-01,2099-01-01
38,Syntax Polishing Equipment           ,226.7,190.9,177.5,Dollar General Corporation    ,  Antoinette Hickey       ,3988 Chanced Avenue   ,S Middleton     ,PA  ,17007,3,Polishing Equipment,A,Processing Equipment,Equipment    ,90,1,2017-01-01,2099-01-01
2,Tailor Jacks                         ,509.8,429.7,399.7,Black Hills Corporation       ,  Edena Gilbert           ,1618 Greenland Street ,Tallahassee     ,FL  ,32304,15,Jacks              ,D,Miscellaneous       ,Miscellaneous,91,1,2017-01-01,2099-01-01
80,Temporally Plastic Supplies          ,477.5,408.3,371.5,Fedders Corporation           ,  Virgil Hubert           ,7844 Carelessly Drive ,Overlook        ,WA  ,98366,7,Plastic Supplies   ,B,Disposable Supplies ,Supplies     ,92,1,2017-01-01,2099-01-01
59,Tonnage Plastic Supplies             ,368.8,315.6,309.3,Afg Industries Inc.           ,  Dorothy Polk            ,5377 Cookbook Circle  ,Vero Beach      ,FL  ,32967,7,Plastic Supplies   ,B,Disposable Supplies ,Supplies     ,93,1,2017-01-01,2099-01-01
89,Travel Paper Supplies                ,129.8,108.8,103.4,Saurer Gruppe Holding Ag      ,  Pearce Valdez           ,3727 Elms Drive       ,South Saint Paul,MN  ,55077,6,Paper Supplies     ,B,Disposable Supplies ,Supplies     ,94,1,2017-01-01,2099-01-01
12,Travelings Photo Chemicals           ,274.4,242,225.1,American General Ventures Inc ,  Kimberly Yarborough     ,1616 Goggles Drive    ,Sterling        ,KS  ,67579,9,Photo Chemicals    ,C,Chemicals           ,Chemical     ,95,1,2017-01-01,2099-01-01
84,Unjust Paper Supplies                ,222.5,182.2,176.7,Afg Industries Inc.           ,  Dorothy Polk            ,5377 Cookbook Circle  ,Vero Beach      ,FL  ,32967,6,Paper Supplies     ,B,Disposable Supplies ,Supplies     ,96,1,2017-01-01,2099-01-01
77,Vastest Photo Equipment              ,498.1,442.3,420.2,Sinclair Broadcast Group Inc. ,  Carla Shelby            ,6037 Ecuadorian Street,Clinton         ,MI  ,49236,1,Photo Equipment    ,A,Processing Equipment,Equipment    ,97,1,2017-01-01,2099-01-01
88,Vestiges Tray Supplies               ,231.4,192.1,186.3,Saurer Gruppe Holding Ag      ,  Pearce Valdez           ,3727 Elms Drive       ,South Saint Paul,MN  ,55077,8,Tray Supplies      ,B,Disposable Supplies ,Supplies     ,98,1,2017-01-01,2099-01-01
49,Visage Flushing Chemicals            ,567.8,507.6,467,Afg Industries Inc.           ,  Dorothy Polk            ,5377 Cookbook Circle  ,Vero Beach      ,FL  ,32967,10,Flushing Chemicals ,C,Chemicals           ,Chemical     ,99,1,2017-01-01,2099-01-01
63,Weeks Polishing Equipment            ,198.8,174.2,168.9,Afg Industries Inc.           ,  Dorothy Polk            ,5377 Cookbook Circle  ,Vero Beach      ,FL  ,32967,3,Polishing Equipment,A,Processing Equipment,Equipment    ,100,1,2017-01-01,2099-01-01
103,Whale Lifts                          ,493.4,406.8,385.4,Saurer Gruppe Holding Ag      ,  Pearce Valdez           ,3727 Elms Drive       ,South Saint Paul, MN ,55077,14,Lifts              ,D,Miscellaneous       ,Miscellaneous,101,1,2017-01-01,2099-01-01
22,Whippers Covers                      ,488.6,410.4,389.9,Specialty Teleconstructors Inc,  Zylina Cox              ,2161 Chalmers Street  ,Salinas         ,CA  ,93905,13,Covers             ,D,Miscellaneous       ,Miscellaneous,102,1,2017-01-01,2099-01-01
28,Wonderingly Covers                   ,547.2,467.3,453.3,Afg Industries Inc.           ,  Dorothy Polk            ,5377 Cookbook Circle  ,Vero Beach      ,FL  ,32967,13,Covers             ,D,Miscellaneous       ,Miscellaneous,103,1,2017-01-01,2099-01-01
